Wall time,Step,Value
1509122996.8161924,100,0.433621883392334
1509124515.7702696,200,0.3824593424797058
1509126063.506761,300,0.31343767046928406
1509127601.9779909,400,0.33741331100463867
1509129105.5466387,500,0.2990817427635193
1509130592.6294024,600,0.2410242259502411
1509132104.8187168,700,0.21505683660507202
1509133594.4323847,800,0.21359898149967194
1509135095.3712466,900,0.19836851954460144
1509136694.892615,1000,0.20322367548942566
1509138184.6265411,1100,0.1701783537864685
1509139677.9095454,1200,0.1449856460094452
1509141173.6865575,1300,0.135554239153862
1509142657.3419607,1400,0.15433454513549805
1509144176.2611918,1500,0.1479073017835617
1509145682.1320424,1600,0.1290908008813858
1509147160.5011559,1700,0.14939738810062408
1509148641.6057858,1800,0.1205267459154129
1509150152.636877,1900,0.1101626604795456
1509151628.6494944,2000,0.11705660820007324
1509153130.9288116,2100,0.10558311641216278
1509154653.9483843,2200,0.12643297016620636
1509156140.2855532,2300,0.13365226984024048
1509157633.288382,2400,0.11959192156791687
1509159158.4512033,2500,0.10292795300483704
1509160654.6802409,2600,0.12361851334571838
1509162152.3998227,2700,0.1150955855846405
1509163667.396938,2800,0.1178128719329834
1509165152.0826485,2900,0.10951018333435059
1509166643.0152533,3000,0.10214050114154816
1509168158.6782005,3100,0.11079202592372894
1509169653.6522422,3200,0.1011691614985466
1509171136.4462376,3300,0.10319031774997711
1509172638.7018576,3400,0.09803792834281921
1509174086.4454622,3500,0.10684166848659515
1509175556.3803973,3600,0.10367624461650848
1509177038.4559834,3700,0.10221587866544724
1509178520.4724276,3800,0.10205505788326263
1509179932.3238256,3900,0.0975104421377182
1509181427.6630397,4000,0.09862414747476578
1509182898.0473459,4100,0.09834688901901245
1509184362.748842,4200,0.09722855687141418
1509185851.3954203,4300,0.09769603610038757
