Wall time,Step,Value
1515811963.6304486,6800,1.0704437494277954
1515814989.309085,6900,1.090739369392395
1515819039.454948,7000,1.0528886318206787
1515822093.9989097,7100,1.0702104568481445
1515826218.7325945,7200,1.0638954639434814
1515829327.8589253,7300,1.0769963264465332
1515832426.5011413,7400,1.055564284324646
1515836686.8942435,7500,1.0550496578216553
1515839937.5592775,7600,1.0475229024887085
1515844306.9402874,7700,1.055005669593811
1515847593.431515,7800,1.0454537868499756
1515850867.0249658,7900,1.0682637691497803
1515855301.7207687,8000,1.0563092231750488
1515858636.2504482,8100,1.0625784397125244
1515863265.3713412,8200,1.06593918800354
1515866914.1476939,8300,1.0477418899536133
1515870467.2364376,8400,1.0498498678207397
1515875329.35932,8500,1.0557036399841309
1515879062.0464082,8600,1.0403019189834595
1515883936.1873784,8700,1.0581083297729492
1515887606.518369,8800,1.0510568618774414
1515892473.249493,8900,1.0512216091156006
1515896110.2997334,9000,1.0482836961746216
1515899749.6300654,9100,1.0526162385940552
