Wall time,Step,Value
1515151846.3847654,21600,0.003195912344381213
1515153297.4302855,21700,0.003583348821848631
1515155269.118633,21800,0.0024389389436692
1515156744.0728726,21900,0.002950930269435048
1515158193.5508492,22000,0.00312787014991045
1515159651.1942816,22100,0.0029951054602861404
1515161131.9041567,22200,0.0032467045821249485
1515162584.765593,22300,0.002401188714429736
1515164168.7026935,22400,0.003216241020709276
1515165812.9674263,22500,0.0031438819132745266
1515167418.8660793,22600,0.0026776520535349846
1515169036.3880155,22700,0.003072509076446295
1515170666.2621505,22800,0.0035172710195183754
1515172269.9003966,22900,0.0035053580068051815
1515173864.9365237,23000,0.0029587973840534687
1515175489.627826,23100,0.003062458708882332
1515177090.9909194,23200,0.002721810946241021
1515178696.0851974,23300,0.0029163938015699387
1515180319.8090508,23400,0.002912923227995634
1515181919.7740483,23500,0.0026330198161303997
1515183512.8835855,23600,0.0035723568871617317
1515185128.3950093,23700,0.0031762956641614437
1515186719.5428164,23800,0.0034802225418388844
1515188312.6365607,23900,0.0031902482733130455
1515189921.8477428,24000,0.002589763607829809
1515191486.6484132,24100,0.002936220495030284
1515193057.4888482,24200,0.002481236355379224
1515194657.5141616,24300,0.0038319514133036137
1515196219.9668143,24400,0.003049603896215558
1515197780.6964476,24500,0.002681344049051404
1515199346.6668983,24600,0.0026597995311021805
1515200791.0720122,24700,0.002948989626020193
1515202244.4069445,24800,0.0031534451991319656
1515203724.9201984,24900,0.0029008821584284306
1515205173.9958572,25000,0.0031692320480942726
1515206631.9247456,25100,0.003317243419587612
1515208105.8218038,25200,0.00253337062895298
1515209567.5548868,25300,0.00325731560587883
1515211010.3052485,25400,0.0032402975484728813
1515212480.4519296,25500,0.003280322067439556
1515213929.8707473,25600,0.0026542511768639088
1515215374.8579688,25700,0.0029415623284876347
1515216846.1772964,25800,0.0019945059902966022
