Wall time,Step,Value
1508533721.1507652,100,0.215291827917099
1508535288.1361263,200,0.18023958802223206
1508536853.6972866,300,0.15373167395591736
1508538448.2206414,400,0.16571706533432007
1508540002.1706986,500,0.17027169466018677
1508541561.013801,600,0.14442864060401917
1508543170.7608082,700,0.14331644773483276
1508544752.3503647,800,0.13741129636764526
1508546324.7786329,900,0.13064435124397278
1508547926.8216152,1000,0.1282494217157364
1508549489.6250417,1100,0.12807533144950867
1508551063.6798842,1200,0.12071514874696732
1508552656.6287935,1300,0.10471434891223907
1508554236.35953,1400,0.13207067549228668
1508555797.0476482,1500,0.10349632054567337
1508557397.0144963,1600,0.11480292677879333
1508558954.187968,1700,0.11752632260322571
1508560533.221096,1800,0.10104675590991974
1508562138.58562,1900,0.09588748961687088
1508563716.6783285,2000,0.10220524668693542
1508565274.7503831,2100,0.10853125154972076
1508566861.2112257,2200,0.10303421318531036
1508568439.0966802,2300,0.10215196013450623
1508570003.0153964,2400,0.09537915885448456
1508571591.9464817,2500,0.12100818753242493
1508573163.0271564,2600,0.10348077118396759
1508574721.7145486,2700,0.11248573660850525
1508576322.4891307,2800,0.08756565302610397
1508577881.0213559,2900,0.10034450888633728
1508579431.8758385,3000,0.09976155310869217
1508581032.8004088,3100,0.09701873362064362
1508582577.241732,3200,0.10151414573192596
1508584138.9261498,3300,0.09490584582090378
1508585746.4270484,3400,0.08747322857379913
1508587312.7035105,3500,0.08422661572694778
1508588872.7904894,3600,0.10685639083385468
1508590483.703525,3700,0.09322778880596161
1508592059.1561139,3800,0.0905456393957138
1508593636.999857,3900,0.08971887826919556
1508595243.9576278,4000,0.08616910874843597
1508596841.9590204,4100,0.08308373391628265
1508598370.87305,4200,0.09334829449653625
1508599914.8043299,4300,0.08305136859416962
