Wall time,Step,Value
1508533721.1507652,100,0.03260210156440735
1508535288.1361263,200,0.026437273249030113
1508536853.6972866,300,0.01986149698495865
1508538448.2206414,400,0.021173514425754547
1508540002.1706986,500,0.022649934515357018
1508541561.013801,600,0.019525708630681038
1508543170.7608082,700,0.01615370623767376
1508544752.3503647,800,0.01993543840944767
1508546324.7786329,900,0.013988148421049118
1508547926.8216152,1000,0.01450945995748043
1508549489.6250417,1100,0.013667491264641285
1508551063.6798842,1200,0.014474878087639809
1508552656.6287935,1300,0.010708862915635109
1508554236.35953,1400,0.015961915254592896
1508555797.0476482,1500,0.011074887588620186
1508557397.0144963,1600,0.011333208531141281
1508558954.187968,1700,0.012928325682878494
1508560533.221096,1800,0.010310405865311623
1508562138.58562,1900,0.009309183806180954
1508563716.6783285,2000,0.011606704443693161
1508565274.7503831,2100,0.010788016021251678
1508566861.2112257,2200,0.010875837877392769
1508568439.0966802,2300,0.01107998937368393
1508570003.0153964,2400,0.009912900626659393
1508571591.9464817,2500,0.014256656169891357
1508573163.0271564,2600,0.010691160336136818
1508574721.7145486,2700,0.013988986611366272
1508576322.4891307,2800,0.008736442774534225
1508577881.0213559,2900,0.010586543008685112
1508579431.8758385,3000,0.009721171110868454
1508581032.8004088,3100,0.010110290721058846
1508582577.241732,3200,0.010469034314155579
1508584138.9261498,3300,0.008978637866675854
1508585746.4270484,3400,0.008735367096960545
1508587312.7035105,3500,0.007900243625044823
1508588872.7904894,3600,0.012294864282011986
1508590483.703525,3700,0.00819390732795
1508592059.1561139,3800,0.008727683685719967
1508593636.999857,3900,0.009494547732174397
1508595243.9576278,4000,0.008430128917098045
1508596841.9590204,4100,0.00779319740831852
1508598370.87305,4200,0.008739575743675232
1508599914.8043299,4300,0.007175669074058533
