Wall time,Step,Value
1508673043.6706018,7600,0.06341799348592758
1508674752.2102242,7700,0.050172992050647736
1508677283.2532353,7800,0.048587147146463394
1508679302.9611084,7900,0.04693138599395752
1508682070.1574972,8000,0.04352543503046036
1508684207.4494944,8100,0.0489826425909996
1508686318.267001,8200,0.044525470584630966
1508689257.2420301,8300,0.04604716598987579
1508691465.9485705,8400,0.04055449739098549
1508694495.2842803,8500,0.05634329468011856
1508696882.2029839,8600,0.04690653085708618
1508699326.0338628,8700,0.04322744905948639
1508702692.8412778,8800,0.03971824049949646
1508705332.3450534,8900,0.04408608376979828
1508708757.4387228,9000,0.04094294458627701
1508711376.3288739,9100,0.04332130029797554
1508713947.4032998,9200,0.04216668754816055
1508717377.2454386,9300,0.0385836623609066
1508719960.8804092,9400,0.04496246576309204
1508723577.045381,9500,0.037296928465366364
1508726326.3968127,9600,0.03915545716881752
1508729935.9208138,9700,0.045619331300258636
1508732758.1526752,9800,0.04048720747232437
1508735531.5079935,9900,0.04289991036057472
1508739345.454436,10000,0.03597348555922508
1508742204.0971162,10100,0.040030933916568756
1508746039.4918826,10200,0.04454902559518814
1508748937.1377842,10300,0.037955768406391144
1508751820.19959,10400,0.040359023958444595
1508755787.9492033,10500,0.03838416188955307
1508758811.5996244,10600,0.03615126013755798
1508762938.0009978,10700,0.03984827548265457
1508766017.5217774,10800,0.03572145476937294
1508769150.0983028,10900,0.03709527105093002
1508773410.3974578,11000,0.038017820566892624
1508776628.4444761,11100,0.03543062135577202
1508780976.2282948,11200,0.03437890484929085
1508784273.3030996,11300,0.03832835331559181
1508787564.0118275,11400,0.03837134689092636
1508791976.3238368,11500,0.032292675226926804
1508795336.4823759,11600,0.03567781299352646
1508799830.5249445,11700,0.035520147532224655
1508803218.6856298,11800,0.03689374774694443
1508807759.406254,11900,0.03601225093007088
1508810966.8385193,12000,0.03913290426135063
1508813935.674662,12100,0.03291358798742294
1508818102.7621615,12200,0.0395440049469471
1508821355.4651914,12300,0.0397324375808239
