Wall time,Step,Value
1513969722.6386545,4400,0.005398361012339592
1513971153.3223345,4500,0.004945310764014721
1513972578.2618754,4600,0.00505011435598135
1513974031.9922101,4700,0.0044650668278336525
1513975455.4352148,4800,0.006783483549952507
1513976883.378589,4900,0.00593957956880331
1513978339.721699,5000,0.005809701979160309
1513979764.1978402,5100,0.004397628363221884
1513981187.4465673,5200,0.006066781468689442
1513982635.9813902,5300,0.0049653006717562675
1513984066.0567296,5400,0.004809773527085781
1513985495.7414186,5500,0.004664846695959568
1513986953.2511973,5600,0.00444458331912756
1513988385.1943486,5700,0.00527065247297287
1513989818.6768627,5800,0.005877004936337471
1513991268.3416114,5900,0.0059076156467199326
1513992695.1591523,6000,0.005393135827034712
1513994128.7770085,6100,0.005084398202598095
1513995584.9875631,6200,0.004929977469146252
1513997021.7173042,6300,0.005106697324663401
1513998456.5785563,6400,0.004937819205224514
1513999919.484269,6500,0.005555643700063229
1514001352.1402817,6600,0.0057833497412502766
1514002789.0283353,6700,0.005348036997020245
1514004246.7247744,6800,0.005882055498659611
1514005679.1597598,6900,0.005531182046979666
1514007118.614443,7000,0.004017765633761883
1514008578.36735,7100,0.0045211417600512505
1514010015.5541158,7200,0.006441749632358551
1514011450.9175427,7300,0.005463816225528717
1514012907.1113906,7400,0.006000053137540817
1514014341.2691317,7500,0.0059821391478180885
1514015781.3434284,7600,0.005788018926978111
1514017237.9794698,7700,0.004928611218929291
1514018673.7305207,7800,0.0054606483317911625
1514020107.1791432,7900,0.004923967644572258
1514021566.6443105,8000,0.004535810090601444
1514023005.146217,8100,0.0055726030841469765
1514024448.5559487,8200,0.005358388647437096
1514025912.0640733,8300,0.00466492585837841
1514027351.0998368,8400,0.004766346886754036
1514028792.5780842,8500,0.005711794830858707
1514030255.9174953,8600,0.005670207552611828
