Wall time,Step,Value
1515244986.9067185,4400,1.577563762664795
1515246522.5900664,4500,1.5613009929656982
1515248064.5324721,4600,1.5518474578857422
1515249641.6990652,4700,1.527846336364746
1515251174.9907973,4800,1.5327081680297852
1515252716.787269,4900,1.5255661010742188
1515254296.1985514,5000,1.5172679424285889
1515255835.855298,5100,1.4916912317276
1515257366.7104487,5200,1.4833375215530396
1515258940.4209132,5300,1.4967156648635864
1515260474.9136746,5400,1.4764302968978882
1515262008.2616713,5500,1.4748120307922363
1515263588.3186564,5600,1.4735054969787598
1515265135.046517,5700,1.4185725450515747
1515266676.0631285,5800,1.4238343238830566
1515268255.2100983,5900,1.4190986156463623
1515269790.4448268,6000,1.4166679382324219
1515271336.0249643,6100,1.409780502319336
1515272928.1403437,6200,1.3983935117721558
1515274498.8564088,6300,1.375624179840088
1515276068.5165298,6400,1.3629101514816284
1515277685.8800426,6500,1.3802210092544556
1515279273.2528858,6600,1.3523406982421875
1515280849.2631588,6700,1.3341302871704102
1515282476.3777487,6800,1.330917239189148
1515284056.8333135,6900,1.0905277729034424
1515285632.4721012,7000,1.3217065334320068
1515287260.1971405,7100,1.3071389198303223
1515288834.116931,7200,1.3016340732574463
1515290408.660692,7300,1.2801347970962524
1515292027.278911,7400,1.2783474922180176
1515293608.4721458,7500,1.2826635837554932
1515295196.577144,7600,1.264939308166504
1515296824.1330702,7700,1.25126051902771
1515298402.3090289,7800,1.2315568923950195
1515299985.7974143,7900,1.2439988851547241
1515301605.4496317,8000,1.2370691299438477
1515303181.7435548,8100,1.247680902481079
1515304779.2183821,8200,1.2098565101623535
1515306409.278543,8300,1.2122377157211304
1515307994.2614653,8400,1.1974050998687744
1515309581.129045,8500,1.1991615295410156
1515311215.3819742,8600,1.1721210479736328
