Wall time,Step,Value
1508533963.8875482,100,0.042591825127601624
1508535451.26219,200,0.03473914787173271
1508536930.3487723,300,0.041643328964710236
1508538430.3760552,400,0.03239096328616142
1508539905.6556365,500,0.030660908669233322
1508541398.1986554,600,0.022112566977739334
1508542910.6182299,700,0.01840134523808956
1508544410.6360338,800,0.02236810326576233
1508545904.5632527,900,0.02751218155026436
1508547402.9211683,1000,0.018052734434604645
1508548899.5891798,1100,0.018885014578700066
1508550386.859424,1200,0.01612800545990467
1508551905.323457,1300,0.014366202056407928
1508553397.1580567,1400,0.015432296320796013
1508554894.6116366,1500,0.012439357116818428
1508556386.8194284,1600,0.014143578708171844
1508557863.0167365,1700,0.01155197061598301
1508559341.4762475,1800,0.009431632235646248
1508560857.346233,1900,0.008788182400166988
1508562346.697154,2000,0.011274827644228935
1508563843.1606865,2100,0.009976351633667946
1508565350.1853971,2200,0.008792039938271046
1508566834.335665,2300,0.010935777798295021
1508568323.4294744,2400,0.007853960618376732
1508569829.6459014,2500,0.009908536449074745
1508571309.2574236,2600,0.008749885484576225
1508572810.8533711,2700,0.007459633052349091
1508574319.5766394,2800,0.006365434266626835
1508575810.6412168,2900,0.010757115669548512
1508577305.4232237,3000,0.008618390187621117
1508578799.5496218,3100,0.007806571200489998
1508580284.3338115,3200,0.0073150089010596275
1508581778.0285912,3300,0.00801438931375742
1508583278.4964943,3400,0.008158182725310326
1508584771.4876928,3500,0.007485775277018547
1508586270.7457495,3600,0.00878182053565979
1508587793.1732285,3700,0.005938829854130745
1508589275.0238128,3800,0.007061790209263563
1508590775.8700614,3900,0.006521915085613728
1508592297.4937787,4000,0.007601823192089796
1508593805.8749382,4100,0.007270929403603077
1508595299.3233278,4200,0.00652146153151989
1508596835.7089496,4300,0.007380114868283272
