Wall time,Step,Value
1514038220.5563736,8700,0.007578112185001373
1514039652.0643878,8800,0.009077420458197594
1514041088.2097437,8900,0.008892039768397808
1514042539.6718776,9000,0.0066190012730658054
1514043975.2761874,9100,0.006524812430143356
1514045415.6394553,9200,0.006278297398239374
1514046871.9003375,9300,0.006359904073178768
1514048308.8286893,9400,0.007942942902445793
1514049738.159352,9500,0.006839525420218706
1514051189.4552326,9600,0.006035704631358385
1514052617.01298,9700,0.0057537672109901905
1514054049.0495021,9800,0.006378235761076212
1514055509.8121915,9900,0.006344858091324568
1514056942.18621,10000,0.007036450318992138
1514058370.197079,10100,0.0055632758885622025
1514059824.944448,10200,0.006765029858797789
1514061267.6483922,10300,0.0056515587493777275
1514062692.7530608,10400,0.007543214596807957
1514064151.5299716,10500,0.006648886948823929
1514065593.564287,10600,0.006744888611137867
1514067024.8011756,10700,0.00743423867970705
1514068492.1187565,10800,0.0066102189011871815
1514069929.8194308,10900,0.006836232729256153
1514071367.12204,11000,0.008637282997369766
1514072833.8724134,11100,0.004542841576039791
1514074260.7020216,11200,0.006883066147565842
1514075700.1343606,11300,0.005823696963489056
1514077163.2419612,11400,0.0058795735239982605
1514078598.3121617,11500,0.005857129115611315
1514080028.0340188,11600,0.006172854453325272
1514081484.8326297,11700,0.005479843355715275
1514082920.221495,11800,0.005407695192843676
1514084359.772717,11900,0.005554966628551483
1514085823.324183,12000,0.005580149125307798
1514087268.2589817,12100,0.006286599673330784
1514088706.1949124,12200,0.007531408220529556
1514090172.9832017,12300,0.005744928494095802
1514091611.509717,12400,0.005423234775662422
1514093057.9543002,12500,0.005989693105220795
1514094518.4868574,12600,0.005468645133078098
1514095963.7065864,12700,0.005718412809073925
1514097405.8250847,12800,0.0058134449645876884
1514098868.244487,12900,0.005731395445764065
